A,B,C,D,E,F,Class
2,2.5,2,2,2,2.5,0
2,1.5,1.5,1.5,2.5,2.5,0
1.5,2.5,1.5,2.5,2.5,2,0
2.5,1.5,2,1.5,2,2.5,0
1.5,1.5,2.5,2.5,2.5,2,0
2,2,2,2.5,2.5,2,0
2,2,2,2.5,2.5,2.5,0
2.5,2,2,2.5,2.5,2.5,0
2,1.5,1.5,2.5,2.5,2,0
2,2,1.5,2.5,2.5,2.5,0
2.5,2,2.5,1.5,2.5,1.5,0
2.5,2.5,2.5,2,2.5,1.5,0
2.5,2,2.5,1.5,2.5,1.5,0
2.5,2,2,2.5,2.5,1.5,0
2.5,2.5,2,2.5,2.5,2.5,0
2.5,2,2.5,2,2.5,2.5,0
2.5,2.5,2,2,2.5,1.5,0
2,2,2,2,2,2.5,0
2.5,2.5,2,2.5,2.5,1.5,0
2,2.5,1.5,2.5,2,2.5,0
2.5,2,2,2,2.5,2,0
2,2.5,2,2.5,2,2.5,0
2,2.5,1.5,2.5,2,2.5,0
2,2.5,2,2.5,2,2.5,0
2.5,2.5,2,2,2,2.5,0
1.5,1.5,2,2,2,1.5,0
2,2,2,2,2,2,0
2.5,2.5,2.5,2.5,2.5,2.5,0
1.5,1.5,2.5,2.5,2.5,1.5,0
2,2,2.5,2.5,2.5,2,0
2.5,2.5,2,2.5,2.5,2.5,0
2.5,2.5,2.5,2,2,2.5,0
2.5,2.5,2,2.5,2,2.5,0
2.5,2.5,2,2,2.5,2.5,0
2.5,2.5,2.5,2.5,2,2.5,0
2.5,2.5,2.5,2,2.5,2.5,0
1.5,1.5,2,2.5,2.5,1.5,0
1.5,1.5,2.5,2,2,1.5,0
1.5,1.5,2,2.5,2,1.5,0
1.5,1.5,2,2.5,2,1.5,0
1.5,1.5,2,2,2.5,1.5,0
1.5,1.5,2.5,2.5,2,1.5,0
1.5,1.5,2.5,2,2.5,1.5,0
2,2,2,2.5,2.5,2,0
2,2,2.5,2,2,2,0
2,2,2,2.5,2,2,0
2,2,2,2,2.5,2,0
2,2,2.5,2.5,2,2,0
2,2,2.5,2,2.5,2,0
2.5,1.5,2,2,2,2.5,0
1.5,2.5,2,2,2,1.5,0
2.5,1.5,2,2,2,1.5,0
2.5,1.5,2.5,2.5,2.5,2.5,0
1.5,2.5,2.5,2.5,2.5,1.5,0
2.5,1.5,2.5,2.5,2.5,1.5,0
1.5,1.5,2,2.5,2.5,2.5,0
2.5,1.5,2.5,2,2,2.5,0
1.5,2.5,2,2.5,2,2.5,0
1.5,2.5,2,2,2.5,1.5,0
2,1.5,1.5,1.5,1.5,2,1
2.5,1.5,1.5,1.5,1.5,1.5,1
1.5,2.5,1.5,1.5,1.5,1.5,1
2,2.5,1.5,2,1.5,1.5,1
1.5,1.5,1.5,1.5,1.5,1.5,1
1.5,1.5,1.5,2,1.5,2,1
1.5,1.5,1.5,1.5,1.5,2.5,1
1.5,1.5,1.5,1.5,1.5,2,1
1.5,1.5,1.5,2,1.5,2.5,1
1.5,1.5,1.5,2,1.5,1.5,1
1.5,1.5,2,1.5,1.5,1.5,1
2.5,1.5,1.5,1.5,1.5,1.5,1
2,1.5,1.5,1.5,1.5,1.5,1
1.5,1.5,1.5,1.5,1.5,1.5,1
2.5,1.5,1.5,1.5,2,2,1
2,1.5,1.5,1.5,1.5,2,1
2,1.5,1.5,1.5,1.5,2,1
2,2,1.5,1.5,1.5,2.5,1
2,1.5,1.5,1.5,1.5,1.5,1
2.5,2,1.5,1.5,1.5,2,1
2.5,1.5,1.5,1.5,1.5,2.5,1
2.5,2,1.5,1.5,1.5,1.5,1
2.5,1.5,1.5,1.5,1.5,1.5,1
1.5,2,1.5,1.5,1.5,2.5,1
1.5,1.5,1.5,1.5,1.5,2,1
2,2,1.5,1.5,1.5,1.5,1
2,2,1.5,1.5,1.5,1.5,1
2.5,2.5,1.5,1.5,1.5,1.5,1
2,2.5,1.5,1.5,1.5,1.5,1
2.5,2,1.5,1.5,1.5,1.5,1
2,1.5,1.5,1.5,1.5,1.5,1
1.5,1.5,1.5,1.5,1.5,1.5,1
1.5,2,1.5,1.5,1.5,1.5,1
2.5,1.5,1.5,1.5,1.5,1.5,1
1.5,2.5,1.5,1.5,1.5,1.5,1
2,2.5,1.5,2,1.5,1.5,1
1.5,1.5,1.5,2.5,1.5,2.5,1
1.5,1.5,1.5,1.5,1.5,1.5,1
1.5,1.5,1.5,2,1.5,2,1
1.5,1.5,1.5,2.5,1.5,1.5,1
1.5,1.5,1.5,1.5,1.5,2.5,1
1.5,1.5,1.5,1.5,1.5,2,1
1.5,1.5,1.5,2,1.5,2.5,1
1.5,1.5,1.5,2,1.5,1.5,1
1.5,1.5,2,1.5,1.5,1.5,1
2.5,1.5,1.5,1.5,1.5,1.5,1
2,1.5,1.5,1.5,1.5,1.5,1
1.5,1.5,1.5,1.5,1.5,1.5,1
2.5,1.5,1.5,1.5,2,2,1
2.5,1.5,1.5,1.5,2,2,1
2,1.5,1.5,1.5,1.5,2,1
1.5,1.5,1.5,1.5,1.5,2,1
1.5,2.5,1.5,1.5,1.5,1.5,1
2,2.5,1.5,2,1.5,1.5,1
1.5,1.5,1.5,1.5,1.5,1.5,1
1.5,1.5,1.5,2,1.5,2,1
1.5,1.5,1.5,2.5,1.5,1.5,1
1.5,1.5,1.5,1.5,1.5,2.5,1
1.5,1.5,1.5,1.5,1.5,2,1
1.5,1.5,1.5,2,1.5,2.5,1
2.5,1.5,1.5,1.5,1.5,2.5,1
2.5,2,1.5,1.5,1.5,1.5,1
2.5,1.5,1.5,1.5,1.5,1.5,1
1.5,2,1.5,1.5,1.5,2.5,1
1.5,1.5,1.5,1.5,1.5,2,1
2,2,1.5,1.5,1.5,1.5,1
2,2,1.5,1.5,1.5,1.5,1
1.5,1.5,1.5,2,1.5,1.5,1
1.5,1.5,2,1.5,1.5,1.5,1
2.5,1.5,1.5,1.5,1.5,1.5,1
2,1.5,1.5,1.5,1.5,1.5,1
1.5,1.5,1.5,1.5,1.5,1.5,1
1.5,2,2.5,2,1.5,2.5,1
2.5,1.5,1.5,1.5,1.5,1.5,1
1.5,2,1.5,1.5,1.5,2.5,1
1.5,1.5,1.5,1.5,1.5,2,1
2,2,1.5,1.5,1.5,1.5,1
2,2,1.5,1.5,1.5,2.5,1
2,1.5,1.5,1.5,1.5,1.5,1
2.5,2,1.5,1.5,1.5,2,1
2.5,1.5,1.5,1.5,1.5,2.5,1
2.5,2,1.5,1.5,1.5,1.5,1
2.5,1.5,1.5,1.5,1.5,1.5,1
1.5,2,1.5,1.5,1.5,2.5,1
1.5,1.5,1.5,1.5,1.5,2,1
2,2,1.5,1.5,1.5,1.5,1
2,2,1.5,1.5,1.5,1.5,1
2,2.5,1.5,1.5,1.5,1.5,1
2.5,2,1.5,1.5,1.5,1.5,1
2,1.5,1.5,1.5,1.5,1.5,1
1.5,1.5,1.5,1.5,1.5,1.5,1
1.5,2,1.5,1.5,1.5,1.5,1
2,1.5,1.5,1.5,1.5,2,1
2.5,1.5,1.5,1.5,1.5,1.5,1
1.5,2.5,1.5,1.5,1.5,1.5,1
2,2.5,1.5,2,1.5,1.5,1
1.5,1.5,1.5,1.5,1.5,1.5,1
1.5,1.5,1.5,2,1.5,2,1
1.5,1.5,1.5,1.5,1.5,2.5,1
1.5,1.5,1.5,1.5,1.5,2,1
1.5,1.5,1.5,2,1.5,2.5,1
1.5,1.5,1.5,2,1.5,1.5,1
1.5,1.5,2,1.5,1.5,1.5,1
2.5,1.5,1.5,1.5,1.5,1.5,1
2,1.5,1.5,1.5,1.5,1.5,1
1.5,1.5,1.5,1.5,1.5,1.5,1
2.5,1.5,1.5,1.5,2,2,1
